ticker,debt_ratio_greater_than_0.1,len_of_quarter_data
PCH,2007,16
PCOM,0,0
PCRX,2002,14
PCTI,0,0
PCTY,477,1
PCYG,1513,25
PCYO,0,0
PDCE,1996,29
PDCO,1981,0
PDEX,918,31
PDFS,0,0
PDS,0,0
PED,954,19
PEG,2001,31
PEGA,548,4
PENN,1213,31
PEP,2008,32
PERI,0,0
PESI,1677,32
PETS,0,0
PFE,1997,31
PFIE,0,12
PFMT,1996,28
PFSW,1915,33
PG,1996,31
PGTI,2003,29
PH,1986,33
PHG,0,0
PHI,0,0
PHM,2007,33
PHX,1997,33
PINC,875,33
PKE,1954,0
PKG,1996,33
PKI,1999,29
PKOH,1995,32
PKX,0,0
PLAB,711,0
PLCE,1129,0
PLG,0,0
PLM,0,0
PLPC,1996,33
PLUG,1352,30
PLUS,1651,33
PLX,328,9
PLXS,2002,33
PM,0,32
PMD,1691,33
PME,730,11
PNM,2001,32
PNR,2002,33
PNW,2002,31
PODD,1997,21
POOL,2003,33
POR,2004,25
POST,1996,32
POWI,0,0
POWL,0,24
PPC,1949,33
PPG,2008,33
PPL,2002,28
PRFT,1850,10
PRGO,1933,27
PRGS,1830,0
PRIM,1997,33
PRLB,0,10
PRMW,1997,32
PRO,1384,9
PRPH,1518,5
PRTA,0,0
PRTK,945,18
PSMT,1857,0
PSO,0,0
PSX,2002,33
PTC,1999,13
PTCT,1639,17
PTEN,2005,19
PTN,635,18
PTNR,0,0
PTSI,1996,33
PULM,1740,6
PVH,1976,0
PWR,1676,33
PXD,1998,20
PXLW,805,10
PZG,1667,2
PZZA,616,22
QCOM,1757,10
QDEL,1131,23
QGEN,2002,9
QLYS,0,0
QNST,1539,5
QRHC,764,30
QTWO,1052,16
QUAD,1997,33
QUIK,1591,20
QUMU,967,28
QUOT,1169,15
QURE,602,4
R,2008,33
RAD,1818,0
RAIL,810,11
RARE,0,0
RAVE,1266,3
RBA,1556,24
RBC,1059,32
RBCN,0,0
RCI,0,0
RCII,2006,31
RCKY,1095,22
RCL,2007,33
RCMT,1853,29
RCON,0,0
RDHL,0,0
RDI,1994,33
RDNT,1931,33
RDUS,1154,0
RDWR,0,0
RDY,0,0
REED,1263,29
REFR,0,0
REGI,1744,0
REGN,1337,17
REI,1619,17
RELL,0,0
RELX,0,0
RENN,0,0
RES,252,0
REX,336,0
RFIL,108,0
RFP,1995,25
RGEN,1491,6
RGLD,1334,11
RGLS,1704,6
RGP,1324,0
RGR,0,0
RGS,1984,11
RH,1533,0
RHI,0,0
RIBT,951,31
RICK,1996,33
RIG,1998,33
RIGL,669,3
RIO,0,0
RL,1938,33
RLGT,1964,10
RMBS,2005,22
RMCF,1560,0
RMD,1996,31
RMTI,508,7
RNG,1769,28
RNWK,639,0
ROCK,1207,22
ROG,1568,31
ROK,1999,14
ROL,594,13
ROP,1998,20
ROST,1678,0
RPM,1955,0
RRC,2005,33
RRGB,1991,33
RS,2002,29
RSG,2006,33
RUSHA,1996,33
RUSHB,1996,33
RUTH,1689,26
RVNC,590,18
RVP,1138,33
RYAAY,486,2
RYAM,1560,33
RYN,1996,28
SA,0,0
SABR,1767,33
SAFM,127,0
SAH,2007,33
SAIA,1588,33
SAIC,1977,0
SALM,1996,33
SAM,389,1
SAND,0,0
SANM,2006,27
SANW,1961,33
SAP,0,0
SATS,1997,33
SAVE,1864,31
SB,2003,2
SBGI,1619,33
SBH,465,33
SBLK,1977,4
SBR,0,0
SBS,0,0
SBUX,1139,28
SCCO,1999,10
SCHL,418,0
SCHN,1875,0
SCI,2001,33
SCL,2003,29
FDP,1732,33
FDS,1636,0
FDX,1969,0
FE,1999,33
FEIM,132,0
FELE,1892,28
FENG,0,0
FET,2001,33
FF,0,0
FFIV,543,8
FICO,1845,20
FIS,1997,33
FISV,2003,31
FIVE,0,0
FIVN,1999,33
FIX,1622,33
FIZZ,265,0
FL,214,0
FLEX,2005,33
FLL,1997,33
FLO,1994,33
FLR,2002,30
FLS,2008,33
FLT,1998,33
FLWS,1931,27
FLXS,169,2
FMC,2001,33
FMS,0,0
FMX,0,0
FN,328,32
FNV,0,0
FOLD,1812,28
FONR,412,31
FORD,1041,15
FORM,746,24
FORR,793,14
FOSL,1993,24
FOX,793,5
FOXA,793,5
FRD,0,4
FRGI,1841,33
FRO,1784,6
FSI,1150,21
FSLR,281,33
FSM,357,2
FSS,1914,12
FSTR,1812,33
FTEK,79,3
FTI,2006,27
FTK,1532,25
FTNT,294,4
FUL,1963,0
FUN,759,15
FWRD,1083,33
G,1996,33
GAIA,886,12
GALT,189,3
GASS,1973,7
GATX,2002,33
GBR,1200,3
GBX,1939,0
GCO,1118,0
GD,2008,24
GDOT,688,18
GE,2002,33
GEF,1984,0
GEL,1998,31
GEN,1518,28
GENC,0,0
GENE,0,0
GEOS,0,0
GERN,372,5
GEVO,1789,26
GFF,2003,33
GFI,0,0
GGB,0,0
GGG,1963,31
GHC,1998,28
GHM,223,33
GIB,1627,2
GIFI,108,4
GIGM,0,0
GIII,1793,0
GIL,0,0
GILD,2000,33
GILT,1525,1
GIS,1969,0
GLDD,1998,23
GLMD,0,0
GLNG,1984,1
GLOP,0,0
GLP,1996,31
GLT,2000,32
GLW,2002,25
GLYC,0,0
GME,1654,0
GMED,0,0
GNE,0,5
GNRC,1997,33
GOGL,1992,7
GOGO,564,31
GOL,0,0
GOLD,2001,11
GOOG,0,33
GOOGL,0,33
GORO,0,13
GPI,2000,33
GPK,2007,33
GPN,1961,22
GPRE,2002,33
GPRK,1049,7
GPRO,1878,9
GPS,1980,0
GRC,0,0
GRFS,0,0
GRMN,0,0
GRPN,1683,23
GRVY,0,0
GSAT,1792,24
GSIT,0,0
GSK,0,0
GSL,2005,3
GSM,1933,2
GSV,0,0
GTE,1493,18
GTIM,1463,27
GTLS,2002,17
GTN,1933,23
GURE,0,24
GVA,2003,30
GVP,857,10
GWRE,1030,0
GWW,2002,30
H,2002,30
HA,2007,33
HAE,2002,33
HAIN,1986,32
HAL,2006,27
HALO,1806,24
HAS,2002,16
HAYN,155,28
HBI,2007,33
HBIO,1962,33
HBM,1835,1
HCA,484,33
HCCI,1602,19
HCKT,886,17
HCSG,537,0
HD,1495,0
HDSN,1589,33
HE,1995,23
